Id,franchise,picked,playername,position,team,bye
1,0,0,Dak Prescott,QB,DAL,8
2,0,0,Teddy Bridgewater,QB,NYJ,11
3,0,0,Matt Ryan,QB,ATL,8
4,0,0,Eli Manning,QB,NYG,9
5,0,0,Tom Brady,QB,NE,11
6,0,0,Mitchell Trubisky,QB,CHI,5
7,0,0,Ryan Tannehill,QB,MIA,11
8,0,0,Matthew Stafford,QB,DET,6
9,0,0,Kirk Cousins,QB,MIN,10
10,0,0,Joe Flacco,QB,BAL,10
11,0,0,Patrick Mahomes,QB,KC,12
12,0,0,Carson Wentz,QB,PHI,9
13,0,0,Jared Goff,QB,LAR,12
14,0,0,Nick Foles,QB,PHI,9
15,0,0,Blake Bortles,QB,JAC,9
16,0,0,Andy Dalton,QB,CIN,9
17,0,0,Russell Wilson,QB,SEA,7
18,0,0,Deshaun Watson,QB,HOU,10
19,0,0,Paxton Lynch,QB,DEN,10
20,0,0,Cam Newton,QB,CAR,4
21,0,0,Alex Smith,QB,KC,12
22,0,0,Philip Rivers,QB,LAC,8
23,0,0,Ben Roethlisberger,QB,PIT,7
24,0,0,Drew Brees,QB,NO,6
25,0,0,Case Keenum,QB,DEN,10
26,0,0,Tyrod Taylor,QB,CLE,11
27,0,0,Marcus Mariota,QB,TEN,8
28,0,0,Derek Carr,QB,OAK,7
29,0,0,Josh McCown,QB,NYJ,11
30,0,0,Jacoby Brissett,QB,IND,9
31,0,0,Jameis Winston,QB,TB,5
32,0,0,DeShon Kizer,QB,GB,7
33,0,0,Jay Cutler,QB,,
34,0,0,Aaron Rodgers,QB,GB,7
35,0,0,Trevor Siemian,QB,MIN,10
36,0,0,Brett Hundley,QB,GB,7
37,0,0,Carson Palmer,QB,ARI,9
38,0,0,C.J. Beathard,QB,SF,11
39,0,0,Jimmy Garoppolo,QB,NE,11
40,0,0,Ryan Fitzpatrick,QB,TB,5
41,0,0,Brock Osweiler,QB,CLE,11
42,0,0,Brian Hoyer,QB,SF,11
43,0,0,Blaine Gabbert,QB,ARI,9
44,0,0,Matt Moore,QB,MIA,11
45,0,0,Mike Glennon,QB,CHI,5
46,0,0,T.J. Yates,QB,,
47,0,0,Sam Bradford,QB,ARI,9
48,0,0,E.J. Manuel,QB,OAK,7
49,0,0,Ryan Mallett,QB,HOU,10
50,0,0,Geno Smith,QB,NYG,9
51,0,0,Nathan Peterman,QB,BUF,11
52,0,0,Cody Kessler,QB,CLE,11
53,0,0,Matt Cassel,QB,TEN,8
54,0,0,Colin Kaepernick,QB,,
55,0,0,Matt Barkley,QB,SF,11
56,0,0,Derek Anderson,QB,CAR,4
57,0,0,Charlie Whitehurst,QB,CLE,11
58,0,0,Shaun Hill,QB,MIN,10
59,0,0,Trevone Boykin,QB,SEA,7
60,0,0,Robert Griffin III,QB,,
61,0,0,Andrew Luck,QB,IND,9
62,0,0,Baker Mayfield,QB,CLE,11
63,0,0,Sam Darnold,QB,NYJ,11
64,0,0,Josh Allen,QB,BUF,11
65,0,0,Josh Rosen,QB,ARI,9
66,0,0,Lamar Jackson,QB,BAL,10
67,0,0,Mason Rudolph,QB,PIT,7
68,0,0,Kyle Lauletta,QB,NYG,9
69,0,0,Mike White,QB,DAL,8
70,0,0,Luke Falk,QB,TEN,8
71,0,0,Tanner Lee,QB,JAC,9
72,0,0,Danny Etling,QB,NE,11
73,0,0,Alex McGough,QB,SEA,7
74,0,0,Logan Woodside,QB,CIN,9
75,0,0,Jordan Howard,RB,CHI,5
76,0,0,Melvin Gordon,RB,LAC,8
77,0,0,Ezekiel Elliott,RB,DAL,8
78,0,0,Austin Ekeler,RB,LAC,8
79,0,0,D'Onta Foreman,RB,HOU,10
80,0,0,Tevin Coleman,RB,ATL,8
81,0,0,Isaiah Crowell,RB,NYJ,11
82,0,0,Marlon Mack,RB,IND,9
83,0,0,Alvin Kamara,RB,NO,6
84,0,0,Leonard Fournette,RB,JAC,9
85,0,0,Jamaal Williams,RB,GB,7
86,0,0,LeSean McCoy,RB,BUF,11
87,0,0,Christian McCaffrey,RB,CAR,4
88,0,0,Jay Ajayi,RB,PHI,9
89,0,0,Devonta Freeman,RB,ATL,8
90,0,0,Kareem Hunt,RB,KC,12
91,0,0,David Johnson,RB,ARI,9
92,0,0,Ty Montgomery,RB,GB,7
93,0,0,Dalvin Cook,RB,MIN,10
94,0,0,Jerick McKinnon,RB,SF,11
95,0,0,James Conner,RB,PIT,7
96,0,0,Le'Veon Bell,RB,PIT,7
97,0,0,Marshawn Lynch,RB,OAK,7
98,0,0,Samaje Perine,RB,WAS,4
99,0,0,Kenyon Drake,RB,MIA,11
100,0,0,Todd Gurley II,RB,LAR,12
101,0,0,Joe Mixon,RB,CIN,9
102,0,0,C.J. Anderson,RB,CAR,4
103,0,0,Joe Williams,RB,SF,11
104,0,0,Derrick Henry,RB,TEN,8
105,0,0,Spencer Ware,RB,KC,12
106,0,0,Mark Ingram,RB,NO,6
107,0,0,Dion Lewis,RB,TEN,8
108,0,0,Carlos Hyde,RB,CLE,11
109,0,0,Lamar Miller,RB,HOU,10
110,0,0,Alex Collins,RB,BAL,10
111,0,0,"Duke Johnson, Jr.",RB,CLE,11
112,0,0,Frank Gore,RB,MIA,11
113,0,0,Latavius Murray,RB,MIN,10
114,0,0,DeMarco Murray,RB,,
115,0,0,Bilal Powell,RB,NYJ,11
116,0,0,Javorius Allen,RB,BAL,10
117,0,0,Orleans Darkwa,RB,NYG,9
118,0,0,Chris Thompson,RB,WAS,4
119,0,0,Jonathan Stewart,RB,NYG,9
120,0,0,Giovani Bernard,RB,CIN,9
121,0,0,LeGarrette Blount,RB,DET,6
122,0,0,Rex Burkhead,RB,NE,11
123,0,0,Theo Riddick,RB,DET,6
124,0,0,Ameer Abdullah,RB,DET,6
125,0,0,Tarik Cohen,RB,CHI,5
126,0,0,Corey Clement,RB,PHI,9
127,0,0,Matt Forte,RB,NYJ,11
128,0,0,Matt Breida,RB,SF,11
129,0,0,James White,RB,NE,11
130,0,0,Rod Smith,RB,DAL,8
131,0,0,Aaron Jones,RB,GB,7
132,0,0,Peyton Barber,RB,TB,5
133,0,0,Mike Gillislee,RB,NE,11
134,0,0,Alfred Morris,RB,DAL,8
135,0,0,Adrian Peterson,RB,,
136,0,0,Doug Martin,RB,OAK,7
137,0,0,Chris Ivory,RB,BUF,11
138,0,0,Devontae Booker,RB,DEN,10
139,0,0,T.J. Yeldon,RB,JAC,9
140,0,0,Jalen Richard,RB,OAK,7
141,0,0,DeAndre Washington,RB,OAK,7
142,0,0,Andre Ellington,RB,HOU,10
143,0,0,Charcandrick West,RB,KC,12
144,0,0,Jamaal Charles,RB,,
145,0,0,Rob Kelley,RB,WAS,4
146,0,0,Alfred Blue,RB,HOU,10
147,0,0,Jacquizz Rodgers,RB,TB,5
148,0,0,Damien Williams,RB,KC,12
149,0,0,Mike Tolbert,RB,BUF,11
150,0,0,Mike Davis,RB,SEA,7
151,0,0,Chris Carson,RB,SEA,7
152,0,0,Shane Vereen,RB,NYG,9
153,0,0,Wendell Smallwood,RB,PHI,9
154,0,0,Charles Sims,RB,TB,5
155,0,0,Terrance West,RB,BAL,10
156,0,0,Tavon Austin,RB,DAL,8
157,0,0,Danny Woodhead,RB,BAL,10
158,0,0,Thomas Rawls,RB,NYJ,11
159,0,0,Eddie Lacy,RB,,
160,0,0,Stevan Ridley,RB,PIT,7
161,0,0,Chris Johnson,RB,ARI,9
162,0,0,Robert Turbin,RB,IND,9
